[-31,-28,-30,-15,17,17,8,17,6,12,17,9,-1,13,17,6,5,6,17,5]
[-31,-28,-30,-8,-25,-1,9,18,21,27,27,19,27,13,22,27,18,19,28,19]
[-31,-2,-30,0,11,16,6,18,15,17,10,15,13,18,-28,19,24,22,21,16]
[-31,-32,-30,-30,-17,21,21,22,19,16,19,15,10,11,21,21,13,5,14,13]
[-31,-30,-30,-30,-6,16,13,24,25,6,15,12,17,9,10,13,10,-19,24,22]
[-34,-30,-26,6,32,3,19,23,10,-20,15,16,16,20,16,7,18,16,10,15]
[-28,-30,10,5,17,17,4,11,8,14,14,14,11,14,-20,8,14,11,17,17]
[-31,-31,-32,-30,-13,28,12,-25,14,8,6,17,14,17,14,8,8,17,8,9]
[-31,-31,-31,-23,-23, -4, 14,12,14,20,14,14,17,14,17,15,17,5,14,8]
[-31,-31,-19,0,17,17,8,14,-3,14,14,14,14,20,11,14,11,14,14,11]
[-31,-34,-31,-21,25,8,20,13,17,5,11,17,11,3,14,9,20,17,17,11]
[-31,-31,-28,-29,-3,-25,11,17,17,14,-25,11,-13,23,14,14,14,17,-27,17]
[-31,-31,-25,12,5,14,5,17,17,14,14,14,20,14,14,-21,14,11,-20,-21]
[17,14,-20,14,1,14,5,20,11,20,14,11,20,8,20,12,14,20,17,11]
