[-36,0,3,-30,-2,14,14,23,19,20,15,13,20,-20,17,17,14,23,24,10]
[-44,-32,-31,16,2,20,26,-5,9,13,26,23,6,16,10,13,10,20,-17,2]
[-38,-30,7,10,4,-32,17,21,20,22,13,15,25,30,20,-23,22,13,27,27]
[-33,-32,-44,-30,-40,21,-24,20,-27,-4,5,16,17,15,-23,23,20,16,20,6]
[-39,-22,-21,-30,-32,-42,18,20,6,-27,20,20,11,-31,11,-27,20,6,9,16]
[-36,-30,-31,-31,-48,8,14,23,16,-2,-21,8,23,20,18,4,29,6,8,20]
[-23,-31,-30,-43,-38,18,13,9,9,14,3,7,-21,5,20,17,9,23,-40,7]
[-36,-30,-30,-31,-20,-33,6,20,15,14,12,20,-23,2,11,23,10,17,13,10]
[-31,-9,4,5,0,-1,10,20,16,14,15,21,-2,20,8,-30,22,23,10,-30]
[-32,-33,-30,-24,5,14,12,-26,2,20,14,3,-22,12,20,19,9,19,9,13]
[-31,-28,-30,-31,13,-37,-3,9,7,15,18,-34,22,-21,12,10,7,-32,9,10]
[-31,-28,-32,-9,16,-31,-30,1,23,-24,17,8,-24,17,17,17,17,-3,-33,20]
[-36,-32,-33,-30,-23,-8,3,5,8,9,9,9,10,9,-20,13,-25,-24,24,3]
[-33,-30,-5,22,-36,-31,20,9,19,25,17,13,10,-19,13,27,21,16,25,25]
